"company_name","bloom_field","bloom_postings","total","cum_postings","cum_share","n_companies","company_index","company_share"
"hoppler consulting","Cloud computing",139,68768,22986,0.36344375049411,4399,68,0.0154580586496931
"sandsiv","Machine Learning AI",138,34632,10856,0.330632880550649,2578,39,0.0151280062063615
"agrola ag","Solar Power",137,7667,1183,0.18828585070826,744,5,0.00672043010752688
"aspectra ag","Cloud computing",136,68768,23122,0.365594118112104,4399,69,0.0156853830416004
"ava ag","Machine Learning AI",136,34632,10992,0.334774928427849,2578,40,0.0155159038013964
"groupe e","Solar Power",136,7667,1319,0.20993156135604,744,6,0.00806451612903226
"poinz ag","Smart devices",136,24824,5269,0.230258270331687,2641,18,0.00681560015145778
"elektrizitatswerke des kantons zurich","Solar Power",133,7667,1452,0.231099793092472,744,7,0.00940860215053763
"kpmg ag","Cloud computing",132,68768,23254,0.367681239623686,4399,70,0.0159127074335076
"coop genossenschaft","Smart devices",130,24824,5399,0.235939343617533,2641,19,0.00719424460431655
"lonza","Cloud computing",130,68768,23384,0.369736738082062,4399,71,0.0161400318254149
"tiger","Virtual Reality",129,4164,1204,0.297504324190759,453,4,0.00883002207505519
"microsoft","Machine Learning AI",128,34632,11120,0.33867332642992,2578,41,0.0159038013964313
"open web technology","Cloud computing",128,68768,23512,0.371760613487232,4399,72,0.0163673562173221
"bruederlinpartner","Cloud computing",125,68768,23637,0.373737054312594,4399,73,0.0165946806092294
"csem sa","Machine Learning AI",125,34632,11245,0.342480355728818,2578,42,0.0162916989914663
"rocken ag","Cloud computing",125,68768,23762,0.375713495137956,4399,74,0.0168220050011366
"swiss general institute of technology","Machine Learning AI",125,34632,11370,0.346287385027715,2578,43,0.0166795965865012
"teksystems","Cloud computing",125,68768,23887,0.377689935963317,4399,75,0.0170493293930439
"michael bailey associates","Cloud computing",124,68768,24011,0.379650565262076,4399,76,0.0172766537849511
"hoval","Smart devices",123,24824,5522,0.241314512957217,2641,20,0.00757288905717531
"mtf quadra sa","Cloud computing",123,68768,24134,0.381595383034232,4399,77,0.0175039781768584
"pebex","Cloud computing",123,68768,24257,0.383540200806388,4399,78,0.0177313025687656
"sony europe bv, switzerland branch","Machine Learning AI",123,34632,11493,0.35003350185783,2578,44,0.0170674941815361
"umanova sa","Smart devices",123,24824,5645,0.246689682296902,2641,21,0.00795153351003408
"next link","Smart devices",122,24824,5767,0.252021151072849,2641,22,0.00833017796289284
"locatee","Cloud computing",120,68768,24377,0.385437583998735,4399,79,0.0179586269606729
"humentum ag","Cloud computing",119,68768,24496,0.387319155664479,4399,80,0.0181859513525801
"ledgy","Cloud computing",118,68768,24614,0.389184915803621,4399,81,0.0184132757444874
"bank vontobel ag","Cloud computing",117,68768,24731,0.391034864416159,4399,82,0.0186406001363946
"adecco staffing","Smart devices",115,24824,5882,0.257046715902635,2641,23,0.00870882241575161
"elca","Machine Learning AI",115,34632,11608,0.353535968812816,2578,45,0.017455391776571
"rent a person","Smart devices",115,24824,5997,0.262072280732421,2641,24,0.00908746686861038
"siemens schweiz ag","Cloud computing",115,68768,24846,0.392853189975492,4399,83,0.0188679245283019
"kpmg","Cloud computing",114,68768,24960,0.394655704008222,4399,84,0.0190952489202091
"nozomi networks","Machine Learning AI",114,34632,11722,0.357007979533411,2578,46,0.0178432893716059
"callista group ag","Cloud computing",113,68768,25073,0.396442406514349,4399,85,0.0193225733121164
"google emea","Cloud computing",113,68768,25186,0.398229109020476,4399,86,0.0195498977040236
"onedot","Cloud computing",113,68768,25299,0.400015811526603,4399,87,0.0197772220959309
"onedot","Machine Learning AI",113,34632,11835,0.360449534019614,2578,47,0.0182311869666408
"sherpany","Cloud computing",113,68768,25412,0.40180251403273,4399,88,0.0200045464878381
"huawei","Cloud computing",112,68768,25524,0.403573405012254,4399,89,0.0202318708797454
"limebike switzerland","Smart devices",112,24824,6109,0.266966743870996,2641,25,0.00946611132146914
"hochschule luzern","Machine Learning AI",111,34632,11946,0.363830176037035,2578,48,0.0186190845616757
"campusjäger gmbh","Smart devices",109,24824,6218,0.271730105318359,2641,26,0.00984475577432791
"squirro","Machine Learning AI",109,34632,12055,0.367149905585673,2578,49,0.0190069821567106
"yova ag","Cloud computing",109,68768,25633,0.405296861411969,4399,90,0.0204591952716526
"adecco staffing","Solar Power",108,7667,1560,0.248289033901003,744,8,0.010752688172043
"itech consult","Cloud computing",107,68768,25740,0.406988694758479,4399,91,0.0206865196635599
"saastal bergbahnen ag","Cloud computing",107,68768,25847,0.408680528104989,4399,92,0.0209138440554672
"siemens","Machine Learning AI",107,34632,12162,0.37040872266553,2578,50,0.0193948797517455
